ticker,date,group,setup_score,risk_score,signals,ret5_pct,ret20_pct,volume_ratio20,ret_1d,ret_5d,ret_20d
3057.TW,2022-05-11,theme,7,0,"BASE,PULLBACK",-2.0,-4.3,0.56,-2.04,-0.82,8.16
3057.TW,2022-05-12,theme,6,0,PULLBACK,-4.38,-7.69,1.14,0.0,0.42,9.58
3057.TW,2022-05-13,theme,7,0,"BASE,PULLBACK",-4.0,-6.25,0.8,-0.42,9.58,13.33
3057.TW,2022-05-16,theme,7,0,"BASE,PULLBACK",-4.4,-6.27,0.98,0.0,10.04,10.46
3057.TW,2022-05-17,theme,7,0,"BASE,PULLBACK",-3.63,-5.53,0.97,1.67,7.11,9.62
3057.TW,2022-05-18,theme,6,0,PULLBACK,-0.82,-5.08,1.04,-0.82,6.17,8.23
3057.TW,2022-05-19,theme,7,0,"BASE,PULLBACK",0.42,-6.23,0.79,9.13,6.22,8.3
3057.TW,2022-05-20,theme,17,2,"REBREAK,ACCEL",9.58,3.14,4.03,0.0,-2.28,-4.56
3057.TW,2022-05-23,theme,15,0,ACCEL,10.04,1.94,1.72,-2.66,-1.9,-3.42
3057.TW,2022-05-24,theme,14,2,NONE,7.11,0.0,2.61,0.78,0.78,-5.47
3057.TW,2022-05-25,theme,12,0,BASE,6.17,0.0,0.71,-0.78,1.16,-5.43
3057.TW,2022-05-26,theme,12,0,NONE,6.22,1.99,1.34,0.39,1.17,-3.91
3057.TW,2022-05-27,theme,9,0,BASE,-2.28,2.8,0.84,0.39,1.95,-3.11
3057.TW,2022-05-30,theme,11,1,NONE,-1.9,1.57,2.13,0.0,1.55,-4.26
3057.TW,2022-05-31,theme,9,0,NONE,0.78,2.79,1.23,1.16,2.33,-6.2
3057.TW,2022-06-01,theme,9,0,BASE,1.16,4.4,0.73,-0.77,1.53,-8.81
3057.TW,2022-06-02,theme,9,0,BASE,1.17,3.19,0.67,1.16,1.54,-9.27
3057.TW,2022-06-06,theme,9,0,BASE,1.95,4.8,0.83,0.0,3.82,-8.4
3057.TW,2022-06-07,theme,9,0,BASE,1.55,4.8,0.66,0.76,0.76,-7.63
3057.TW,2022-06-08,theme,9,0,BASE,2.33,6.45,0.5,0.38,-0.76,-10.98
3057.TW,2022-06-09,theme,9,0,BASE,1.53,8.16,0.6,-0.75,-0.75,-12.08
3057.TW,2022-06-10,theme,10,0,"BASE,TREND",1.54,9.58,0.85,3.42,-0.76,-9.13
3057.TW,2022-06-13,theme,14,2,TREND,3.82,13.33,3.64,-2.94,-7.72,-12.87
