date,ticker,name,group,layer,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,spec_risk_score,spec_risk_label,atr_pct,volatility_tag,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score
2026-04-14,00687B.TWO,國泰20年美債,etf,defensive_watch,28.24,0.25,-0.46,0.43,-0.57,20699000,28439750,0.73,28.35,28.33,28.2,-2.9,-0.37,3,1,BASE,一般觀察,低檔慢慢墊高,,,,,,,,,,,
2026-04-15,00687B.TWO,國泰20年美債,etf,defensive_watch,28.32,0.28,-0.63,0.32,-0.63,22288000,28377250,0.79,28.34,28.33,28.21,-2.63,-0.06,3,1,BASE,一般觀察,低檔慢慢墊高,0.0,正常,,,,,,,,,
2026-04-16,00687B.TWO,國泰20年美債,etf,defensive_watch,28.14,-0.64,-0.95,-1.54,-0.92,14708000,28009850,0.53,28.32,28.33,28.21,-3.25,-0.65,3,1,BASE,一般觀察,低檔慢慢墊高,0.0,正常,,,,,,,,,
2026-04-17,00687B.TWO,國泰20年美債,etf,defensive_watch,27.98,-0.57,-1.1,-1.76,-2.1,25089000,28336350,0.89,28.29,28.33,28.21,-3.8,-1.11,3,1,BASE,一般觀察,低檔慢慢墊高,0.0,正常,,,,,,,,,
2026-04-20,00687B.TWO,國泰20年美債,etf,defensive_watch,28.1,0.43,-0.25,-0.53,-1.13,27569000,27222500,1.01,28.28,28.33,28.21,-3.38,-0.63,2,1,NONE,一般觀察,還在觀察,0.0,正常,,,,,,,,,
2026-04-21,00687B.TWO,國泰20年美債,etf,defensive_watch,28.18,0.28,-0.21,-0.67,-1.37,21077000,26628400,0.79,28.26,28.33,28.21,-3.11,-0.27,3,1,BASE,一般觀察,低檔慢慢墊高,0.0,正常,,,,,,,,,
2026-04-22,00687B.TWO,國泰20年美債,etf,defensive_watch,28.08,-0.35,-0.85,-1.47,-0.07,19274000,25648550,0.75,28.26,28.33,28.21,-3.45,-0.62,3,1,BASE,一般觀察,低檔慢慢墊高,0.0,正常,0.59,穩健,,,,,,,
2026-04-23,00687B.TWO,國泰20年美債,etf,defensive_watch,28.0,-0.28,-0.5,-1.44,-0.64,28744000,25533350,1.13,28.25,28.32,28.21,-3.73,-0.88,2,1,NONE,一般觀察,還在觀察,0.0,正常,0.57,穩健,,,,,,,
2026-04-24,00687B.TWO,國泰20年美債,etf,defensive_watch,28.02,0.07,0.14,-0.95,-0.92,21162000,25603750,0.83,28.23,28.31,28.21,-3.66,-0.76,3,1,BASE,一般觀察,低檔慢慢墊高,0.0,正常,0.53,穩健,正常,高檔無回檔,高檔無回檔,0.0,0.0,1.0,0.0
2026-04-27,00687B.TWO,國泰20年美債,etf,defensive_watch,27.91,-0.39,-0.68,-0.92,-1.13,29475000,25928500,1.14,28.22,28.31,28.21,-4.04,-1.09,2,1,NONE,一般觀察,還在觀察,0.0,正常,0.49,穩健,正常,高檔無回檔,高檔無回檔,0.0,0.0,1.0,0.0
2026-04-28,00687B.TWO,國泰20年美債,etf,defensive_watch,27.93,0.07,-0.89,-1.1,-0.68,14881000,25287150,0.59,28.21,28.31,28.2,-3.97,-0.99,3,1,BASE,一般觀察,低檔慢慢墊高,0.0,正常,0.48,穩健,正常,高檔無回檔,高檔無回檔,0.0,0.0,1.0,0.0
2026-04-29,00687B.TWO,國泰20年美債,etf,defensive_watch,28.04,0.39,-0.14,-0.99,-0.67,19306500,24242275,0.8,28.2,28.31,28.2,-3.59,-0.57,3,1,BASE,一般觀察,低檔慢慢墊高,0.0,正常,0.47,穩健,正常,高檔無回檔,高檔無回檔,0.0,0.0,1.0,0.0
2026-04-30,00687B.TWO,國泰20年美債,etf,defensive_watch,27.86,-0.64,-0.5,-1.0,-2.52,26882000,22085500,1.22,28.16,28.31,28.2,-4.21,-1.08,3,1,NONE,一般觀察,還在觀察,0.0,正常,0.49,穩健,正常,高檔無回檔,高檔無回檔,0.0,0.0,1.0,0.0
2026-05-04,00687B.TWO,國泰20年美債,etf,defensive_watch,27.92,0.22,-0.36,-0.21,-1.97,27442676,22468583,1.22,28.14,28.31,28.2,-4.0,-0.77,3,1,NONE,一般觀察,還在觀察,0.0,正常,0.48,穩健,正常,高檔無回檔,高檔無回檔,0.0,0.0,1.0,0.0
2026-05-05,00687B.TWO,國泰20年美債,etf,defensive_watch,27.73,-0.68,-0.64,-1.32,-1.84,1643206,21056810,0.08,28.11,28.3,28.19,-4.66,-1.35,3,1,BASE,一般觀察,低檔慢慢墊高,0.0,正常,0.49,穩健,正常,高檔無回檔,高檔無回檔,0.0,0.0,1.0,0.0
