date,ticker,name,group,close,ret5_pct,ret20_pct,volume,avg_vol20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,grade,ret1_pct,ret3_pct,ret10_pct,volume_ratio20,ma5,ma10,drawdown20_pct,drawdown60_pct,bias5_pct,layer,spec_risk_score,spec_risk_label,atr_pct,volatility_tag,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score
2026-04-10,2317.TW,鴻海,core,200.5,1.78,-8.45,55780853,55642473,201.6,217.72,224.98,-23.47,-0.55,0,0,PULLBACK,一般觀察,高檔拉回整理,,0.25,,0.25,1.0,,,,,,,,,,,,,,,,,
2026-04-13,2317.TW,鴻海,core,200.0,3.63,-6.76,36786764,55334121,200.88,217.14,224.75,-23.66,-0.44,1,0,PULLBACK,一般觀察,高檔拉回整理,,-0.25,,-0.25,0.66,,,,,,,,,,,,,,,,,
2026-04-14,2317.TW,鴻海,core,207.5,8.07,-3.26,56963436,56387554,200.53,216.67,224.6,-20.8,3.48,4,0,PULLBACK,開始轉強,高檔拉回整理,,3.75,,4.01,1.01,,,,,,midlong_core,,,,,,,,,,,
2026-04-15,2317.TW,鴻海,core,207.5,2.98,-4.16,69041187,57945288,200.07,216.15,224.48,-20.8,3.71,2,0,PULLBACK,一般觀察,高檔拉回整理,,0.0,,6.96,1.19,,,,,,midlong_core,0.0,正常,,,,,,,,,
2026-04-16,2317.TW,鴻海,core,207.0,3.5,-2.36,44353061,54841983,199.82,215.78,224.43,-20.99,3.59,3,0,PULLBACK,一般觀察,高檔拉回整理,,-0.24,,10.4,0.81,,,,,,midlong_core,0.0,正常,,,,,,,,,
2026-04-17,2317.TW,鴻海,core,206.0,2.74,-1.9,47524705,53586918,199.62,215.37,224.43,-21.37,3.19,3,0,PULLBACK,一般觀察,高檔拉回整理,,-0.48,,4.57,0.89,,,,,,midlong_core,0.0,正常,,,,,,,,,
2026-04-20,2317.TW,鴻海,core,207.5,3.75,1.22,38137175,51330012,199.75,215.02,224.44,-20.8,3.88,3,0,PULLBACK,一般觀察,高檔拉回整理,,0.73,,7.51,0.74,,,,,,midlong_core,0.0,正常,,,,,,,,,
2026-04-21,2317.TW,鴻海,core,211.0,1.69,3.94,55956369,49672803,200.15,214.76,224.34,-19.47,5.42,2,0,NONE,一般觀察,還在觀察,,1.69,,9.9,1.13,,,,,,midlong_core,0.0,正常,,,,,,,,,
2026-04-22,2317.TW,鴻海,core,221.0,6.51,12.76,135835479,52812510,201.4,214.53,224.3,-15.65,9.73,8,3,NONE,進攻優勢區,還在觀察,,4.74,,9.68,2.57,,,,,,midlong_core,1.0,正常,2.94,標準,,,,,,,
2026-04-23,2317.TW,鴻海,core,225.0,8.7,15.38,169098376,58573304,202.9,214.39,224.18,-14.12,10.89,9,3,ACCEL,進攻優勢區,轉強速度有出來,,1.81,,12.5,2.89,,,,,,midlong_core,1.0,正常,3.05,標準,,,,,,,
2026-04-24,2317.TW,鴻海,core,221.5,7.52,10.75,75559985,60304802,203.97,214.18,224.04,-15.46,8.59,5,1,NONE,開始轉強,還在觀察,,-1.56,,10.47,1.25,,,,,,midlong_core,0.0,正常,3.14,標準,正常,結構相對正常,,0.0,0.0,0.0,0.0
2026-04-27,2317.TW,鴻海,core,228.0,9.88,13.72,106041417,63572800,205.35,214.15,223.92,-12.98,11.03,9,1,ACCEL,進攻優勢區,轉強速度有出來,,2.93,,14.0,1.67,,,,,,midlong_core,0.0,正常,3.18,標準,正常,乖離偏大、加速但結構薄,"乖離偏大,加速但結構薄",0.0,0.0,1.0,1.0
2026-04-28,2317.TW,鴻海,core,225.5,6.87,13.03,101695092,67229952,206.65,214.18,223.8,-13.93,9.12,8,1,NONE,進攻優勢區,還在觀察,,-1.1,,8.67,1.51,,,,,,midlong_core,0.0,正常,3.18,標準,正常,結構相對正常,,0.0,0.0,0.0,0.0
