date,ticker,name,group,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,layer,spec_risk_score,spec_risk_label,atr_pct,volatility_tag,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score
2026-04-10,2382.TW,廣達,theme,321.5,2.72,10.67,12.81,11.25,37845000,18041753,2.1,290.32,285.74,285.32,0.0,10.74,13,3,"TREND,ACCEL",進攻優勢區,轉強速度有出來,,,,,,,,,,,,
2026-04-13,2382.TW,廣達,theme,319.0,-0.78,12.13,11.15,10.57,16490167,18156129,0.91,291.85,286.43,285.41,-0.78,9.3,11,2,TREND,進攻優勢區,中段延續中,,,,,,,,,,,,
2026-04-14,2382.TW,廣達,theme,323.0,1.25,11.76,11.76,11.76,20044944,18666162,1.07,293.55,287.11,285.55,0.0,10.03,10,2,TREND,進攻優勢區,中段延續中,short_attack,,,,,,,,,,,
2026-04-15,2382.TW,廣達,theme,308.5,-4.49,0.33,9.79,6.75,33056704,19594539,1.69,294.52,287.55,285.64,-4.49,4.74,8,1,NONE,進攻優勢區,還在觀察,short_attack,0.0,正常,,,,,,,,,
2026-04-16,2382.TW,廣達,theme,318.5,3.24,1.76,14.36,10.21,18097798,19804962,0.91,296.0,288.31,285.84,-1.39,7.6,7,1,TREND,偏強可追蹤,中段延續中,short_attack,0.0,正常,,,,,,,,,
2026-04-17,2382.TW,廣達,theme,323.0,1.41,0.47,11.19,10.24,19570331,19863836,0.99,297.5,288.98,286.17,0.0,8.57,7,2,TREND,偏強可追蹤,中段延續中,short_attack,0.0,正常,,,,,,,,,
2026-04-20,2382.TW,廣達,theme,329.0,1.86,3.13,15.64,14.83,18863979,20298297,0.93,299.62,289.78,286.52,0.0,9.8,8,2,TREND,進攻優勢區,中段延續中,short_attack,0.0,正常,,,,,,,,,
2026-04-21,2382.TW,廣達,theme,340.0,3.34,5.26,17.65,19.93,23951645,20841489,1.15,302.45,290.8,286.93,0.0,12.42,8,2,TREND,進攻優勢區,中段延續中,short_attack,1.0,正常,,,,,,,,,
2026-04-22,2382.TW,廣達,theme,335.0,-1.47,8.59,8.94,19.64,17860191,20972530,0.85,305.2,291.62,287.32,-1.47,9.76,12,2,TREND,進攻優勢區,中段延續中,short_attack,0.0,正常,3.6,標準,,,,,,,
2026-04-23,2382.TW,廣達,theme,322.0,-3.88,1.1,2.88,14.39,26593810,21791197,1.22,307.23,292.27,287.53,-5.29,4.81,8,0,TREND,進攻優勢區,中段延續中,short_attack,0.0,正常,3.96,標準,,,,,,,
2026-04-24,2382.TW,廣達,theme,323.0,0.31,0.0,0.47,13.33,17980123,22233112,0.81,309.12,292.82,287.8,-5.0,4.49,8,0,TREND,進攻優勢區,中段延續中,short_attack,0.0,正常,3.98,標準,正常,結構相對正常,,0.0,0.0,0.0,0.0
2026-04-27,2382.TW,廣達,theme,325.5,0.77,-1.06,2.04,13.41,16103840,22478070,0.72,311.05,293.55,288.1,-4.26,4.65,8,1,TREND,進攻優勢區,中段延續中,short_attack,0.0,正常,4.03,活潑,正常,高檔無回檔,高檔無回檔,0.0,0.0,1.0,0.0
2026-04-28,2382.TW,廣達,theme,321.0,-1.38,-5.59,-0.62,11.07,15525273,22614012,0.69,312.65,294.27,288.32,-5.59,2.67,7,0,TREND,偏強可追蹤,中段延續中,short_attack,0.0,正常,3.95,標準,正常,結構相對正常,,0.0,0.0,0.0,0.0
2026-04-29,2382.TW,廣達,theme,322.0,0.31,-3.88,4.38,14.59,11287573,22316020,0.51,314.7,295.06,288.43,-5.29,2.32,8,0,TREND,進攻優勢區,中段延續中,short_attack,0.0,正常,3.63,標準,正常,結構相對正常,,0.0,0.0,0.0,0.0
