date,ticker,name,close,ret5_pct,ret20_pct,volume,avg_vol20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,group,grade,ret1_pct,ret3_pct,ret10_pct,volume_ratio20,ma5,ma10,drawdown20_pct,drawdown60_pct,bias5_pct,layer,spec_risk_score,spec_risk_label,atr_pct,volatility_tag,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score
2026-04-10,2465.TW,麗臺,59.8,14.34,8.73,1511609,903825,56.84,55.52,58.62,-22.41,5.22,13,0,"TREND,ACCEL,PULLBACK",進攻優勢區,轉強速度有出來,theme,,1.53,,7.55,1.67,,,,,,,,,,,,,,,,,
2026-04-13,2465.TW,麗臺,61.7,18.2,9.2,1610037,915480,57.1,55.55,58.62,-19.94,8.07,13,3,"TREND,ACCEL",進攻優勢區,轉強速度有出來,theme,,3.18,,13.84,1.76,,,,,,,,,,,,,,,,,
2026-04-14,2465.TW,麗臺,60.6,11.6,10.58,2159009,1003974,57.39,55.57,58.55,-21.37,5.6,13,1,"TREND,ACCEL,PULLBACK",進攻優勢區,轉強速度有出來,theme,,-1.78,,10.99,2.15,,,,,,short_attack,,,,,,,,,,,
2026-04-15,2465.TW,麗臺,59.4,-0.5,3.85,1260075,1034704,57.5,55.56,58.41,-22.93,3.31,6,0,PULLBACK,偏強可追蹤,高檔拉回整理,theme,,-1.98,,11.65,1.22,,,,,,short_attack,0.0,正常,,,,,,,,,
2026-04-16,2465.TW,麗臺,58.8,-0.17,1.38,1737549,1080959,57.54,55.56,58.33,-23.71,2.2,8,0,"ACCEL,PULLBACK",進攻優勢區,轉強速度有出來,theme,,-1.01,,13.08,1.61,,,,,,short_attack,0.0,正常,,,,,,,,,
2026-04-17,2465.TW,麗臺,60.4,1.0,-5.33,947389,1008224,57.37,55.6,58.29,-21.63,5.29,6,0,PULLBACK,偏強可追蹤,高檔拉回整理,theme,,2.72,,15.49,0.94,,,,,,short_attack,0.0,正常,,,,,,,,,
2026-04-20,2465.TW,麗臺,66.4,7.62,0.91,2049601,960311,57.4,55.73,58.25,-13.84,15.69,11,3,ACCEL,進攻優勢區,轉強速度有出來,theme,,9.93,,27.2,2.13,,,,,,short_attack,3.0,投機偏高,,,,,,,,,
2026-04-21,2465.TW,麗臺,67.6,11.55,7.64,8459464,1285576,57.64,55.9,58.17,-7.16,17.29,12,4,ACCEL,進攻優勢區,轉強速度有出來,theme,,1.81,,24.49,6.58,,,,,,short_attack,4.0,投機偏高,,,,,,,,,
2026-04-22,2465.TW,麗臺,71.3,20.03,25.97,3400257,1429264,58.37,56.12,58.16,-0.56,22.15,15,6,"SURGE,TREND,ACCEL",高風險追價區,有點過熱，別硬追,theme,,5.47,,19.43,2.38,,,,,,short_attack,5.0,投機偏高,5.48,活潑,,,,,,,
2026-04-23,2465.TW,麗臺,68.3,16.16,25.55,3510345,1551971,59.07,56.28,58.13,-4.21,15.64,15,4,"SURGE,TREND,ACCEL",進攻優勢區,題材正在發酵,theme,,-4.21,,15.96,2.26,,,,,,short_attack,4.0,投機偏高,6.25,活潑,,,,,,,
2026-04-24,2465.TW,麗臺,67.6,11.92,21.58,1738997,1620768,59.67,56.44,58.1,-5.19,13.3,11,1,TREND,進攻優勢區,中段延續中,theme,,-1.02,,13.04,1.07,,,,,,short_attack,1.0,正常,6.65,劇烈,正常,波動劇烈、震幅過大、乖離偏大,"波動劇烈,震幅過大,乖離偏大",0.0,2.0,1.0,0.0
2026-04-27,2465.TW,麗臺,68.8,3.61,26.94,1671295,1686714,60.4,56.62,58.08,-3.51,13.92,8,2,TREND,進攻優勢區,中段延續中,theme,,1.78,,11.51,0.99,,,,,,short_attack,3.0,投機偏高,6.68,劇烈,資金擁擠型,波段急漲、波動劇烈、震幅過大,"波段急漲,波動劇烈,震幅過大,乖離偏大,高檔無回檔",1.0,2.0,2.0,0.0
