date,ticker,name,group,layer,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,spec_risk_score,spec_risk_label,atr_pct,volatility_tag,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score
2026-04-14,2892.TW,第一金,core,midlong_core,28.6,0.53,0.0,0.53,-1.04,13245660,19338823,0.68,28.6,29.08,28.88,-4.98,-0.01,4,1,NONE,開始轉強,還在觀察,,,,,,,,,,,
2026-04-15,2892.TW,第一金,core,midlong_core,28.85,0.87,0.17,2.49,0.0,20453903,19593703,1.04,28.6,29.06,28.88,-4.15,0.87,4,1,NONE,開始轉強,還在觀察,0.0,正常,,,,,,,,,
2026-04-16,2892.TW,第一金,core,midlong_core,28.8,-0.17,-1.03,2.13,-1.03,12290172,19272938,0.64,28.59,29.05,28.88,-4.32,0.74,5,1,NONE,開始轉強,還在觀察,0.0,正常,,,,,,,,,
2026-04-17,2892.TW,第一金,core,midlong_core,28.8,0.0,0.7,1.23,-0.52,13422144,18549368,0.72,28.58,29.03,28.87,-4.32,0.77,5,1,NONE,開始轉強,還在觀察,0.0,正常,,,,,,,,,
2026-04-20,2892.TW,第一金,core,midlong_core,28.9,0.35,1.58,1.76,1.05,19842314,18122008,1.09,28.6,29.02,28.87,-3.99,1.07,4,1,NONE,開始轉強,還在觀察,0.0,正常,,,,,,,,,
2026-04-21,2892.TW,第一金,core,midlong_core,28.8,-0.35,0.7,0.7,0.17,15112917,17526666,0.86,28.6,29.01,28.87,-4.32,0.71,5,1,NONE,開始轉強,還在觀察,0.0,正常,,,,,,,,,
2026-04-22,2892.TW,第一金,core,midlong_core,28.65,-0.52,-0.69,-0.52,1.96,17948961,17211205,1.04,28.62,29.0,28.86,-4.82,0.09,4,1,NONE,開始轉強,還在觀察,0.0,正常,1.15,穩健,,,,,,,
2026-04-23,2892.TW,第一金,core,midlong_core,28.15,-1.75,-2.26,-3.26,-1.4,41083929,18252646,2.25,28.61,28.97,28.86,-6.48,-1.59,6,1,NONE,偏強可追蹤,還在觀察,0.0,正常,1.21,穩健,,,,,,,
2026-04-24,2892.TW,第一金,core,midlong_core,28.3,0.53,-1.74,-1.05,-1.39,19045050,17918875,1.06,28.58,28.95,28.85,-5.98,-1.0,3,0,NONE,一般觀察,還在觀察,0.0,正常,1.2,穩健,正常,結構相對正常,,0.0,0.0,0.0,0.0
2026-04-27,2892.TW,第一金,core,midlong_core,28.35,0.18,-1.9,-0.35,-1.05,31664355,18710037,1.69,28.57,28.92,28.84,-5.81,-0.77,6,0,NONE,偏強可追蹤,還在觀察,0.0,正常,1.25,穩健,正常,結構相對正常,,0.0,0.0,0.0,0.0
2026-04-28,2892.TW,第一金,core,midlong_core,28.3,-0.18,-1.74,-1.05,-0.53,18932064,18820203,1.01,28.56,28.9,28.84,-5.98,-0.92,3,0,NONE,一般觀察,還在觀察,0.0,正常,1.26,穩健,正常,結構相對正常,,0.0,0.0,0.0,0.0
2026-04-29,2892.TW,第一金,core,midlong_core,28.55,0.88,-0.35,-1.04,1.42,19278098,18731991,1.03,28.58,28.89,28.83,-5.15,-0.11,3,0,NONE,一般觀察,還在觀察,0.0,正常,1.2,穩健,正常,結構相對正常,,0.0,0.0,0.0,0.0
2026-04-30,2892.TW,第一金,core,midlong_core,28.85,1.05,2.49,0.17,2.3,79730918,21784620,3.66,28.61,28.89,28.84,-4.15,0.82,7,3,NONE,偏強可追蹤,還在觀察,3.0,投機偏高,1.23,穩健,資金擁擠型,爆量、量能失衡、高檔無回檔,"爆量,量能失衡,高檔無回檔,走勢與訊號不匹配",0.0,2.0,1.0,1.0
