date,ticker,name,close,ret5_pct,ret20_pct,volume,avg_vol20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,group,grade,ret1_pct,ret3_pct,ret10_pct,volume_ratio20,ma5,ma10,drawdown20_pct,drawdown60_pct,bias5_pct,layer,spec_risk_score,spec_risk_label,atr_pct,volatility_tag,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score
2026-04-10,5386.TWO,青雲,339.0,18.12,6.27,233973,591779,327.15,201.38,137.21,-23.13,3.62,10,2,PULLBACK,進攻優勢區,高檔拉回整理,theme,,6.1,,5.61,0.4,,,,,,,,,,,,,,,,,
2026-04-13,5386.TWO,青雲,330.0,19.57,14.78,280259,563349,329.27,205.39,139.42,-25.17,0.22,12,2,"TREND,PULLBACK",進攻優勢區,中段延續中,theme,,-2.65,,14.19,0.5,,,,,,,,,,,,,,,,,
2026-04-14,5386.TWO,青雲,363.0,19.6,15.61,415926,543462,331.73,210.02,141.91,-17.69,9.43,12,3,TREND,進攻優勢區,中段延續中,theme,,10.0,,39.35,0.77,,,,,,short_attack,,,,,,,,,,,
2026-04-15,5386.TWO,青雲,390.0,16.94,13.04,516530,540548,333.98,215.11,144.59,-11.56,16.78,12,2,TREND,進攻優勢區,中段延續中,theme,,7.44,,36.13,0.96,,,,,,short_attack,3.0,投機偏高,,,,,,,,,
2026-04-16,5386.TWO,青雲,355.0,11.11,-6.46,5024750,780049,332.75,219.66,147.0,-19.5,6.69,12,2,NONE,進攻優勢區,還在觀察,theme,,-8.97,,35.24,6.44,,,,,,short_attack,2.0,正常,,,,,,,,,
2026-04-17,5386.TWO,青雲,352.0,3.83,-15.59,2840484,907659,329.5,224.16,149.39,-20.18,6.83,8,2,PULLBACK,進攻優勢區,高檔拉回整理,theme,,-0.85,,22.65,3.13,,,,,,short_attack,2.0,正常,,,,,,,,,
2026-04-20,5386.TWO,青雲,332.5,0.76,-24.6,2462382,991221,324.07,228.32,151.62,-24.6,2.6,8,1,PULLBACK,進攻優勢區,高檔拉回整理,theme,,-5.54,,20.47,2.48,,,,,,short_attack,1.0,正常,,,,,,,,,
2026-04-21,5386.TWO,青雲,365.5,0.69,-7.93,3127665,1114789,322.5,233.05,154.11,-17.12,13.33,8,3,NONE,進攻優勢區,還在觀察,theme,,9.92,,20.43,2.81,,,,,,short_attack,4.0,投機偏高,,,,,,,,,
2026-04-22,5386.TWO,青雲,380.0,-2.56,5.56,4904847,1324762,323.5,238.0,156.73,-13.83,17.47,8,4,ACCEL,進攻優勢區,轉強速度有出來,theme,,3.97,,13.94,3.7,,,,,,short_attack,4.0,投機偏高,7.59,劇烈,,,,,,,
2026-04-23,5386.TWO,青雲,345.0,-2.82,6.48,4789475,1513350,324.55,242.36,159.06,-21.77,6.3,8,2,PULLBACK,進攻優勢區,高檔拉回整理,theme,,-9.21,,7.98,3.16,,,,,,short_attack,2.0,正常,9.02,劇烈,,,,,,,
2026-04-24,5386.TWO,青雲,340.0,-3.41,5.92,2302653,1583281,325.5,246.64,161.32,-22.9,4.45,6,0,PULLBACK,偏強可追蹤,高檔拉回整理,theme,,-1.45,,0.29,1.45,,,,,,short_attack,2.0,正常,9.41,劇烈,正常,波動劇烈、震幅過大,"波動劇烈,震幅過大",0.0,2.0,0.0,0.0
2026-04-27,5386.TWO,青雲,363.5,9.32,25.78,3146680,1710442,329.23,251.2,163.74,-17.57,10.41,15,2,"SURGE,TREND,ACCEL",進攻優勢區,題材正在發酵,theme,,6.91,,10.15,1.84,,,,,,short_attack,3.0,投機偏高,8.92,劇烈,資金擁擠型,波段急漲、爆量、波動劇烈,"波段急漲,爆量,波動劇烈,震幅過大,乖離偏大",1.0,3.0,1.0,0.0
2026-04-28,5386.TWO,青雲,382.5,4.65,46.83,3702238,1874698,335.32,256.11,166.34,-13.27,14.07,12,4,"SURGE,TREND",進攻優勢區,題材正在發酵,theme,,5.23,,5.37,1.97,,,,,,short_attack,5.0,投機偏高,8.53,劇烈,急拉爆量型,波段急漲、20日飆漲、爆量,"波段急漲,20日飆漲,爆量,波動劇烈,震幅過大,乖離偏大",2.0,3.0,1.0,0.0
2026-04-29,5386.TWO,青雲,375.5,-1.18,31.06,2982501,2000621,339.77,260.96,168.87,-14.85,10.51,8,3,TREND,進攻優勢區,中段延續中,theme,,-1.83,,-3.72,1.49,,,,,,short_attack,2.0,正常,8.62,劇烈,正常,波段急漲、波動劇烈、震幅過大,"波段急漲,波動劇烈,震幅過大,乖離偏大",1.0,2.0,1.0,0.0
2026-04-30,5386.TWO,青雲,379.0,9.86,44.38,3687651,2140298,345.6,265.85,171.43,-14.06,9.66,15,3,"SURGE,TREND,ACCEL",進攻優勢區,題材正在發酵,theme,,0.93,,6.76,1.72,,,,,,short_attack,1.0,正常,8.35,劇烈,正常,波段急漲、波動劇烈、震幅過大,"波段急漲,波動劇烈,震幅過大",1.0,2.0,0.0,0.0
