date,ticker,name,group,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,layer,spec_risk_score,spec_risk_label,atr_pct,volatility_tag,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score
2026-04-10,8111.TWO,立碁,theme,65.0,6.56,7.44,2.2,0.15,4722370,2146186,2.2,63.08,65.68,65.12,-16.02,3.04,9,1,NONE,進攻優勢區,還在觀察,,,,,,,,,,,,
2026-04-13,8111.TWO,立碁,theme,66.9,2.92,14.16,6.7,4.04,5105234,2317446,2.2,63.21,65.63,65.23,-13.57,5.84,12,1,ACCEL,進攻優勢區,轉強速度有出來,,,,,,,,,,,,
2026-04-14,8111.TWO,立碁,theme,68.7,2.69,13.37,10.27,2.54,7138565,2537359,2.81,63.29,65.63,65.34,-11.24,8.54,12,3,ACCEL,進攻優勢區,轉強速度有出來,short_attack,,,,,,,,,,,
2026-04-15,8111.TWO,立碁,theme,70.7,2.91,15.71,16.67,3.36,9393594,2849786,3.3,63.41,65.69,65.48,-8.66,11.5,12,3,ACCEL,進攻優勢區,轉強速度有出來,short_attack,5.0,投機偏高,,,,,,,,,
2026-04-16,8111.TWO,立碁,theme,72.0,1.84,18.03,24.14,5.88,7140204,2982591,2.39,63.61,65.76,65.64,-6.98,13.19,12,4,ACCEL,進攻優勢區,轉強速度有出來,short_attack,6.0,疑似炒作風險高,,,,,,,,,
2026-04-17,8111.TWO,立碁,theme,79.2,10.0,21.85,30.91,20.0,16203235,3640542,4.45,64.27,65.92,65.86,0.0,23.23,13,7,ACCEL,高風險追價區,有點過熱，別硬追,short_attack,8.0,疑似炒作風險高,,,,,,,,,
2026-04-20,8111.TWO,立碁,theme,77.6,-2.02,15.99,32.42,18.29,30415544,5022317,6.06,64.87,66.06,66.07,-2.02,19.62,13,5,ACCEL,進攻優勢區,轉強速度有出來,short_attack,8.0,疑似炒作風險高,,,,,,,,,
2026-04-21,8111.TWO,立碁,theme,80.9,4.25,17.76,33.5,24.27,10351998,5381846,1.92,65.66,66.29,66.3,0.0,23.21,14,4,"SURGE,ACCEL",進攻優勢區,題材正在發酵,short_attack,6.0,疑似炒作風險高,,,,,,,,,
2026-04-22,8111.TWO,立碁,theme,77.0,-4.82,8.91,26.02,23.2,8447273,5717536,1.48,66.38,66.43,66.49,-4.82,15.99,11,3,ACCEL,進攻優勢區,轉強速度有出來,short_attack,2.0,正常,5.81,活潑,,,,,,,
2026-04-23,8111.TWO,立碁,theme,71.0,-7.79,-1.39,16.39,16.97,10578266,6168796,1.71,66.9,66.49,66.62,-12.24,6.13,10,0,"TREND,ACCEL",進攻優勢區,轉強速度有出來,short_attack,0.0,正常,6.75,劇烈,,,,,,,
2026-04-24,8111.TWO,立碁,theme,68.1,-4.08,-14.02,4.77,7.08,5120524,6357974,0.81,67.12,66.52,66.73,-15.82,1.45,6,0,NONE,偏強可追蹤,還在觀察,short_attack,2.0,正常,7.42,劇烈,正常,波動劇烈、震幅過大,"波動劇烈,震幅過大",0.0,2.0,0.0,0.0
2026-04-27,8111.TWO,立碁,theme,66.9,-1.76,-13.79,0.0,6.7,4108008,6467460,0.64,67.33,66.58,66.83,-17.31,-0.65,5,0,NONE,開始轉強,還在觀察,short_attack,2.0,正常,7.75,劇烈,正常,波動劇烈、震幅過大,"波動劇烈,震幅過大",0.0,2.0,0.0,0.0
2026-04-28,8111.TWO,立碁,theme,71.0,6.13,-12.24,3.35,13.96,4458671,6650090,0.67,67.77,66.63,66.98,-12.24,4.77,8,0,TREND,進攻優勢區,中段延續中,short_attack,0.0,正常,7.53,劇烈,正常,波動劇烈、震幅過大,"波動劇烈,震幅過大",0.0,2.0,0.0,0.0
2026-04-29,8111.TWO,立碁,theme,70.3,-0.99,-8.7,-0.57,16.01,3768368,6775839,0.56,68.25,66.72,67.11,-13.1,3.0,8,0,TREND,進攻優勢區,中段延續中,short_attack,0.0,正常,7.71,劇烈,正常,波動劇烈、震幅過大,"波動劇烈,震幅過大",0.0,2.0,0.0,0.0
2026-04-30,8111.TWO,立碁,theme,69.4,-1.28,-2.25,-3.61,19.66,3875983,6888185,0.56,68.82,66.79,67.24,-14.22,0.84,8,0,TREND,進攻優勢區,中段延續中,short_attack,0.0,正常,7.5,劇烈,正常,波動劇烈、震幅過大,"波動劇烈,震幅過大",0.0,2.0,0.0,0.0
2026-05-04,8111.TWO,立碁,theme,69.1,-0.43,1.47,-12.75,14.21,2718356,6973552,0.39,69.25,66.86,67.35,-14.59,-0.22,6,0,NONE,偏強可追蹤,還在觀察,short_attack,2.0,正常,7.09,劇烈,正常,波動劇烈、震幅過大,"波動劇烈,震幅過大",0.0,2.0,0.0,0.0
2026-05-05,8111.TWO,立碁,theme,69.6,0.72,4.04,-10.31,18.77,160678,6923646,0.02,69.8,66.95,67.46,-13.97,-0.29,7,0,NONE,偏強可追蹤,還在觀察,short_attack,2.0,正常,6.67,劇烈,正常,波動劇烈、震幅過大,"波動劇烈,震幅過大",0.0,2.0,0.0,0.0
