rank,date,ticker,name,group,layer,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,spec_risk_score,spec_risk_label,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score,atr_pct,volatility_tag,grade,rank_change,setup_change,risk_change,status_change
1,2026-04-28,3019.TW,亞光,theme,short_attack,143.0,-0.35,9.58,9.16,12.6,9380651,5216905,1.8,128.62,137.56,139.04,-12.54,11.18,16,1,ACCEL,進攻優勢區,轉強速度有出來,1,正常,正常,乖離偏大、加速但結構薄,"乖離偏大,加速但結構薄",0,0,1,1,4.07,活潑,A,5,2,-2,UP
2,2026-04-28,2312.TW,金寶,theme,short_attack,30.1,9.85,10.87,32.6,30.02,138910272,46982494,2.96,24.4,24.66,24.16,-14.97,23.35,14,6,"SURGE,ACCEL",高風險追價區,有點過熱，別硬追,11,疑似炒作風險高,急拉爆量型,單日急拉、波段急漲、爆量,"單日急拉,波段急漲,爆量,量能失衡,波動劇烈,震幅過大,乖離偏大,乖離過大,追價風險高,缺少趨勢支撐,加速但結構薄",2,4,2,3,6.23,活潑,C,10,4,5,UP
3,2026-04-28,2464.TW,盟立,satellite,midlong_core,106.5,9.79,23.69,41.81,48.12,30801749,12076914,2.55,78.1,73.46,67.85,0.0,36.35,12,9,"SURGE,TREND,ACCEL",高風險追價區,有點過熱，別硬追,11,疑似炒作風險高,急拉爆量型,單日急拉、短線急漲、5日過熱,"單日急拉,短線急漲,5日過熱,波段急漲,20日飆漲,爆量,波動劇烈,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",5,3,3,1,6.36,活潑,C,5,0,2,UP
4,2026-04-28,3324.TWO,雙鴻,theme,short_attack,1145.0,-2.97,9.05,18.65,15.31,4823479,5584557,0.86,1020.7,1013.55,989.07,-5.76,12.18,12,1,TREND,進攻優勢區,中段延續中,1,正常,正常,波動劇烈、震幅過大、乖離偏大,"波動劇烈,震幅過大,乖離偏大",0,2,1,0,6.27,活潑,B,1,-2,-2,UP
5,2026-04-28,3017.TW,奇鋐,theme,short_attack,2780.0,-1.94,8.38,20.35,26.65,5520167,4163624,1.33,2386.5,1940.08,1670.46,-5.6,16.49,12,2,"TREND,ACCEL",進攻優勢區,轉強速度有出來,1,正常,正常,波段急漲、震幅過大、乖離偏大,"波段急漲,震幅過大,乖離偏大",1,1,1,0,5.79,活潑,A,2,0,-1,UP
6,2026-04-28,5386.TWO,青雲,theme,short_attack,382.5,5.23,4.65,5.37,46.83,3702238,1874698,1.97,335.32,256.11,166.34,-13.27,14.07,12,4,"SURGE,TREND",進攻優勢區,題材正在發酵,5,投機偏高,急拉爆量型,波段急漲、20日飆漲、爆量,"波段急漲,20日飆漲,爆量,波動劇烈,震幅過大,乖離偏大",2,3,1,0,8.53,劇烈,A,-4,-3,2,DOWN
7,2026-04-28,2454.TW,聯發科,core,midlong_core,2615.0,7.39,25.12,52.03,64.98,22923298,14589563,1.57,1853.25,1774.33,1559.22,0.0,41.1,11,9,"SURGE,TREND,ACCEL",高風險追價區,有點過熱，別硬追,8,疑似炒作風險高,高檔脫離型,單日急拉、短線急漲、5日過熱,"單日急拉,短線急漲,5日過熱,波段急漲,20日飆漲,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",5,1,3,1,5.16,活潑,C,2,0,0,UP
8,2026-04-28,6669.TW,緯穎,theme,short_attack,4800.0,-1.84,13.74,27.83,41.38,2250480,2125455,1.06,3871.25,3838.25,4069.88,-1.84,23.99,11,5,TREND,進攻優勢區,中段延續中,6,疑似炒作風險高,高檔脫離型,短線急漲、波段急漲、震幅過大,"短線急漲,波段急漲,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",2,1,3,1,4.49,活潑,X,-4,-3,-4,DOWN
9,2026-04-28,2412.TW,中華電,core,midlong_core,137.0,0.0,0.0,1.48,2.24,17815508,10025539,1.78,135.43,134.91,133.18,-0.72,1.16,10,1,NONE,進攻優勢區,還在觀察,0,正常,正常,高檔無回檔,高檔無回檔,0,0,1,0,1.07,穩健,B,6,0,-1,UP
10,2026-04-28,3443.TW,創意,satellite,midlong_core,4190.0,5.94,12.18,37.38,70.33,649674,2101439,0.31,3096.0,2694.17,2379.54,0.0,35.34,9,7,TREND,高風險追價區,有點過熱，別硬追,8,疑似炒作風險高,急拉爆量型,短線急漲、波段急漲、20日飆漲,"短線急漲,波段急漲,20日飆漲,波動劇烈,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",3,2,3,1,6.03,活潑,C,8,0,0,UP
