ticker,name,bucket,decision_priority,entry_bias,buy_zone_low,buy_zone_high,stop_loss,add_rule,trim_rule,decision_reason,to20_m,vr20,order_hint,max_pos_pct
6161.TWO,捷波,quality_value_research,34.0,分批試單,43.2,44.3,41.13,第一筆 1/3；突破前高且未爆量再加 1/3,跌破停損或出現 SURGE+爆量失衡先減,technical=優先研究、fundamental=品質價值優先、Q/V=5/4,5.2767945,1.58,限價掛單/分批,0.3%
3168.TW,眾福科,quality_value_research,31.0,分批試單,44.91,45.9,42.96,第一筆 1/3；突破前高且未爆量再加 1/3,跌破停損或出現 SURGE+爆量失衡先減,technical=優先研究、fundamental=品質價值優先、Q/V=4/4,4.1050665,1.63,限價掛單/分批,0.3%
3515.TW,華擎,quality_value_research,26.0,等轉強,230.95,234.5,220.31,收盤站回 MA20 且量能回到 0.8–1.4 倍，再開第一筆,未站回 MA20 前不加碼；跌破停損直接退出觀察單,technical=觀察轉強、fundamental=品質價值優先、Q/V=5/4、PULLBACK,266.173064,1.3,限價掛單/分批,1.0%
3158.TWO,嘉實,quality_value_research,24.0,等轉強,90.17,90.85,87.33,收盤站回 MA20 且量能回到 0.8–1.4 倍，再開第一筆,未站回 MA20 前不加碼；跌破停損直接退出觀察單,technical=觀察轉強、fundamental=品質價值優先、Q/V=4/4、PULLBACK,1.723663,0.64,先等量/不追價,0.3%
4953.TWO,緯軟,quality_value_research,24.0,等轉強,120.6,122.31,115.46,收盤站回 MA20 且量能回到 0.8–1.4 倍，再開第一筆,未站回 MA20 前不加碼；跌破停損直接退出觀察單,technical=觀察轉強、fundamental=品質價值優先、Q/V=4/4,48.533342,1.37,限價掛單/分批,1.0%
3556.TWO,禾瑞亞,quality_value_research,23.0,等轉強,51.28,52.86,46.01,收盤站回 MA20 且量能回到 0.8–1.4 倍，再開第一筆,未站回 MA20 前不加碼；跌破停損直接退出觀察單,technical=觀察轉強、fundamental=品質價值優先、Q/V=4/4,45.3347302,0.72,先等量/不追價,1.0%
6996.TWO,力領科技,quality_value_research,22.5,等轉強,175.76,178.95,164.45,收盤站回 MA20 且量能回到 0.8–1.4 倍，再開第一筆,未站回 MA20 前不加碼；跌破停損直接退出觀察單,technical=觀察轉強、fundamental=品質價值優先、Q/V=5/3,40.335735,1.03,限價掛單/分批,1.0%
2617.TW,台航,quality_value_research,22.0,等轉強,29.94,30.18,29.21,收盤站回 MA20 且量能回到 0.8–1.4 倍，再開第一筆,未站回 MA20 前不加碼；跌破停損直接退出觀察單,technical=觀察轉強、fundamental=品質價值優先、Q/V=4/4,23.0180538,1.48,限價掛單/分批,0.5%
3005.TW,神基,quality_value_research,22.0,等轉強,98.55,99.61,95.38,收盤站回 MA20 且量能回到 0.8–1.4 倍，再開第一筆,未站回 MA20 前不加碼；跌破停損直接退出觀察單,technical=觀察轉強、fundamental=品質價值優先、Q/V=4/4、PULLBACK,416.7788688,0.82,先等量/不追價,1.0%
6201.TW,亞弘電,quality_value_research,22.0,等轉強,50.7,51.13,49.42,收盤站回 MA20 且量能回到 0.8–1.4 倍，再開第一筆,未站回 MA20 前不加碼；跌破停損直接退出觀察單,technical=觀察轉強、fundamental=品質價值優先、Q/V=4/4,1.991869,1.34,限價掛單/分批,0.3%
