ticker,name,first_seen_date,last_seen_date,days_watched,radar_grade,rank,close,ret5_pct,ret20_pct,volume_ratio20,setup_score,risk_score,spec_risk_label,entry_bias,decision_priority,lifecycle_action,lifecycle_reason,buy_zone_low,buy_zone_high,stop_loss
4995.TWO,晶達,2026-05-07,2026-05-07,1,,4,45.5,7.82,11.52,2.09,13,2,正常,分批試單,31.0,promote,技術與品質條件同時達標，可進入試單研究,44.41,45.5,42.26
6525.TW,捷敏-KY,2026-05-07,2026-05-07,1,,8,109.5,20.07,31.14,3.84,12,9,疑似炒作風險高,等待降溫,-6.5,cooldown,風險分數或投機標籤過高，先降溫觀察,92.21,97.06,86.25
2376.TW,技嘉,2026-05-07,2026-05-07,1,,9,309.0,13.39,26.38,2.08,12,3,投機偏高,等待降溫,9.5,cooldown,風險分數或投機標籤過高，先降溫觀察,278.43,289.4,263.76
6161.TWO,捷波,2026-05-07,2026-05-07,1,,11,44.0,6.54,9.05,1.77,12,0,正常,分批試單,34.0,promote,技術與品質條件同時達標，可進入試單研究,42.92,44.0,40.85
3034.TW,聯詠,2026-05-07,2026-05-07,1,,14,453.0,10.89,15.71,1.47,10,2,正常,分批試單,23.0,promote,技術與品質條件同時達標，可進入試單研究,439.23,453.0,418.99
8261.TW,富鼎,2026-05-07,2026-05-07,1,,15,128.0,7.56,17.97,1.75,10,1,正常,分批試單,26.5,promote,技術與品質條件同時達標，可進入試單研究,120.72,128.0,110.21
4967.TW,十銓,2026-05-07,2026-05-07,1,,17,297.0,4.03,32.29,1.61,10,5,投機偏高,等待降溫,-3.5,cooldown,風險分數或投機標籤過高，先降溫觀察,253.82,274.67,227.14
2345.TW,智邦,2026-05-07,2026-05-07,1,,21,2560.0,15.84,49.71,0.83,9,5,疑似炒作風險高,等待降溫,-5.0,cooldown,風險分數或投機標籤過高，先降溫觀察,2146.5,2292.68,1966.11
2383.TW,台光電,2026-05-07,2026-05-07,1,,22,4960.0,11.71,56.47,0.81,9,7,疑似炒作風險高,等待降溫,-10.0,cooldown,風險分數或投機標籤過高，先降溫觀察,4147.0,4421.78,3809.68
3044.TW,健鼎,2026-05-07,2026-05-07,1,,23,500.0,10.13,35.14,0.81,9,4,投機偏高,等拉回,8.0,hold,條件尚未完整，維持觀察,459.2,486.4,393.66
5490.TWO,同亨,2026-05-07,2026-05-07,1,,28,28.5,5.56,5.95,2.07,9,2,正常,等拉回,15.0,hold,條件尚未完整，維持觀察,27.22,28.07,25.99
