ticker,name,group,layer,enabled,radar_priority,similar_score,watchlist_reason
4933.TWO,友輝,satellite,quality_value,True,A加入觀察,16.78,品質分數高、估值分數高、營收YoY正、ROE>=12%、PE<=18、負債可控
3217.TWO,優群,satellite,quality_value,True,A加入觀察,16.3,品質分數高、估值合理、營收YoY正、ROE>=12%、PE<=18、負債可控
2414.TW,精技,satellite,quality_value,True,B研究追蹤,17.56,估值分數高、營收YoY正、ROE>=12%、PE<=18、負債偏高需確認
9951.TWO,皇田,satellite,quality_value,True,B研究追蹤,16.29,估值分數高、營收YoY正、PE<=18、負債可控
5403.TWO,中菲,satellite,quality_value,True,B研究追蹤,16.18,估值分數高、ROE>=12%、PE<=18、負債可控
2432.TW,倚天酷碁-創,satellite,quality_value,True,B研究追蹤,16.11,估值分數高、營收YoY正、PE<=18、負債可控
3033.TW,威健,satellite,quality_value,True,B研究追蹤,16.1,估值分數高、營收YoY正、ROE>=12%、PE<=18、負債偏高需確認
5607.TW,遠雄港,satellite,quality_value,True,B研究追蹤,15.67,估值分數高、營收YoY正、ROE>=12%、PE<=18、負債偏高需確認
1608.TW,華榮,satellite,quality_value,True,B研究追蹤,15.61,估值分數高、營收YoY正、PE<=18、負債可控
3596.TW,智易,satellite,quality_value,True,B研究追蹤,15.38,估值分數高、營收YoY正、ROE>=12%、PE<=18、負債偏高需確認
6590.TWO,普鴻,satellite,quality_value,True,B研究追蹤,15.23,估值分數高、營收YoY正、PE<=18、負債可控
3029.TW,零壹,satellite,quality_value,True,B研究追蹤,14.94,估值合理、營收YoY正、ROE>=12%、PE<=18、負債偏高需確認
6435.TWO,大中,satellite,quality_value,True,B研究追蹤,14.23,品質分數高、營收YoY正、ROE>=12%、負債可控
2428.TW,興勤,satellite,quality_value,True,B研究追蹤,13.97,估值分數高、營收YoY正、PE<=18、負債可控
8272.TWO,全景軟體,satellite,quality_value,True,B研究追蹤,13.84,估值分數高、營收YoY正、PE<=18、負債可控
