ticker,date,setup_score,risk_score,signals,ret_1d,ret_5d,ret_20d
3057.TW,2022-05-20,9,2,REBREAK,0.0,-2.28,-4.56
3057.TW,2023-04-27,6,3,REBREAK,1.2,-2.4,-8.0
3057.TW,2023-11-21,8,3,"REBREAK,PULLBACK",5.28,1.22,3.25
3057.TW,2023-12-13,6,3,REBREAK,1.5,-2.26,-5.26
3057.TW,2024-05-07,8,2,REBREAK,-4.26,1.94,11.24
2495.TW,2022-10-18,7,3,REBREAK,1.19,-2.38,15.48
2495.TW,2023-12-27,8,1,REBREAK,0.71,-0.71,-3.77
2495.TW,2024-02-15,8,3,REBREAK,2.15,4.78,4.78
2495.TW,2024-04-10,7,1,REBREAK,-0.88,-4.38,-7.88
2495.TW,2025-08-25,8,1,"REBREAK,PULLBACK",-0.47,-1.86,1.63
2495.TW,2025-09-16,8,2,REBREAK,-3.15,4.73,5.41
2495.TW,2025-11-07,6,1,REBREAK,3.52,8.07,8.07
2399.TW,2022-12-14,8,2,REBREAK,1.04,-6.57,-5.54
2399.TW,2023-01-03,6,2,REBREAK,0.36,1.09,2.92
2399.TW,2023-01-16,7,1,REBREAK,0.36,5.82,18.18
2399.TW,2023-02-13,8,3,REBREAK,0.69,4.51,12.5
2399.TW,2023-09-15,6,2,REBREAK,-0.82,-0.82,-4.3
2399.TW,2023-10-23,6,2,REBREAK,1.66,-2.08,0.62
2399.TW,2023-12-05,7,1,REBREAK,10.0,0.21,0.62
2399.TW,2024-01-11,7,1,REBREAK,-3.08,-6.16,4.52
2399.TW,2024-02-15,6,2,REBREAK,5.74,0.61,-4.3
2399.TW,2024-06-19,7,1,REBREAK,0.0,-1.99,9.49
2399.TW,2024-08-26,6,3,REBREAK,7.11,-0.65,37.93
2399.TW,2025-06-24,7,1,"REBREAK,PULLBACK",0.26,-2.87,-6.79
2465.TW,2022-12-14,6,2,REBREAK,9.95,-4.1,-0.37
2465.TW,2023-07-14,7,2,REBREAK,7.35,3.21,-6.28
2465.TW,2025-07-11,6,1,"REBREAK,PULLBACK",-3.12,-0.49,7.4
2465.TW,2025-07-15,6,2,REBREAK,-2.78,-6.96,2.47
2465.TW,2025-10-07,6,2,REBREAK,9.89,13.97,0.64
5386.TWO,2023-01-16,6,1,REBREAK,-1.63,3.27,2.18
5386.TWO,2023-03-21,7,3,REBREAK,-0.13,3.06,1.06
5386.TWO,2023-05-25,6,2,REBREAK,0.39,26.37,52.48
5386.TWO,2024-07-16,6,2,"REBREAK,PULLBACK",5.49,-1.92,14.29
5386.TWO,2025-09-18,7,2,REBREAK,2.2,-4.69,1.03
5386.TWO,2025-10-09,6,2,REBREAK,-2.93,-3.23,8.21
3013.TW,2023-04-12,6,1,REBREAK,-3.43,-0.64,-13.92
3013.TW,2024-07-09,6,3,REBREAK,2.63,33.37,-5.39
3013.TW,2025-08-04,6,2,REBREAK,-0.39,2.35,3.14
0050.TW,2023-07-13,7,2,REBREAK,1.03,0.26,-2.11
0050.TW,2023-10-11,7,2,REBREAK,0.83,-1.15,0.75
0050.TW,2024-01-19,8,2,REBREAK,0.68,2.07,7.86
0050.TW,2025-01-06,7,3,REBREAK,1.11,-3.83,-1.1
2330.TW,2023-01-09,8,1,REBREAK,1.04,4.99,9.77
2330.TW,2025-08-07,7,2,REBREAK,-0.42,-0.42,-1.69
2317.TW,2023-05-29,9,2,REBREAK,1.42,1.9,9.0
2317.TW,2024-03-04,9,3,REBREAK,0.0,2.82,41.31
2317.TW,2025-10-16,6,2,REBREAK,1.57,7.17,8.07
