ticker,date,group,setup_score,risk_score,signals,ret5_pct,ret20_pct,volume_ratio20,ret_1d,ret_5d,ret_20d
3057.TW,2022-05-20,theme,17,2,"REBREAK,ACCEL",9.58,3.14,4.03,0.0,-2.28,-4.56
3057.TW,2022-05-23,theme,15,0,ACCEL,10.04,1.94,1.72,-2.66,-1.9,-3.42
3057.TW,2023-02-01,theme,16,3,ACCEL,10.95,10.4,7.32,0.45,-2.69,4.93
3057.TW,2023-02-02,theme,16,3,"TREND,ACCEL",12.0,10.89,6.72,-1.34,0.0,5.36
3057.TW,2023-02-03,theme,16,1,"TREND,ACCEL",10.5,10.94,1.75,1.36,1.36,5.88
3057.TW,2023-02-10,theme,11,0,"TREND,ACCEL",1.36,12.22,1.27,-1.34,-0.89,1.79
3057.TW,2023-04-18,theme,16,4,"TREND,ACCEL",13.72,16.82,8.63,-4.28,-12.06,-10.12
3057.TW,2023-07-14,theme,15,4,"TREND,ACCEL",12.2,15.97,9.0,9.78,2.54,-13.77
3057.TW,2023-07-17,theme,15,7,"SURGE,TREND,ACCEL",23.17,27.31,8.13,3.63,-9.57,-20.46
3057.TW,2023-07-18,theme,15,9,"SURGE,TREND,ACCEL",27.13,31.93,8.89,-9.24,-9.87,-22.93
3057.TW,2023-07-19,theme,14,3,"TREND,ACCEL",14.46,18.75,2.91,-1.05,-1.4,-15.09
3057.TW,2023-07-20,theme,14,1,"TREND,ACCEL",12.35,16.53,1.6,0.35,-2.13,-15.25
3057.TW,2023-07-31,theme,15,2,"SURGE,TREND,ACCEL",13.5,24.9,1.77,-6.11,-15.11,-25.4
3057.TW,2023-11-21,theme,16,3,"REBREAK,ACCEL,PULLBACK",11.31,10.31,8.63,5.28,1.22,3.25
3057.TW,2023-11-22,theme,14,3,ACCEL,16.67,15.62,8.6,-3.09,-3.09,0.39
3057.TW,2023-11-23,theme,14,3,"ACCEL,PULLBACK",12.56,12.05,3.08,-0.4,-0.8,1.59
3057.TW,2023-12-14,theme,14,3,"TREND,ACCEL",9.76,21.08,3.42,-4.44,-5.56,-7.41
3057.TW,2024-01-17,theme,15,2,ACCEL,8.13,4.72,2.88,-1.5,-4.51,3.76
3057.TW,2024-02-20,theme,14,4,"TREND,ACCEL",17.2,17.2,6.55,-4.44,-5.46,-14.68
3057.TW,2024-02-21,theme,14,3,"TREND,ACCEL",14.29,8.53,5.04,-0.71,-1.07,-7.5
3057.TW,2024-02-22,theme,12,0,"TREND,ACCEL",8.59,9.02,1.46,-0.72,-2.16,-8.99
3057.TW,2024-05-07,theme,16,2,"REBREAK,ACCEL",8.86,7.95,5.54,-4.26,1.94,11.24
3057.TW,2024-05-16,theme,12,2,ACCEL,7.72,8.16,2.15,-1.13,1.51,4.53
3057.TW,2024-05-24,theme,11,2,ACCEL,6.49,17.23,1.47,2.15,0.72,2.51
3057.TW,2024-05-27,theme,15,4,"TREND,ACCEL",10.47,20.76,2.87,0.7,0.7,-1.75
3057.TW,2024-06-28,theme,15,4,"TREND,ACCEL",8.65,12.95,5.63,2.55,10.83,-14.01
3057.TW,2024-07-01,theme,14,4,"TREND,ACCEL",12.59,14.59,5.12,2.48,0.31,-14.6
3057.TW,2024-07-02,theme,14,3,"TREND,ACCEL",17.86,14.98,2.19,-2.42,-5.15,-15.76
3057.TW,2024-07-03,theme,14,2,"TREND,ACCEL",12.98,12.2,1.6,9.94,-0.31,-17.08
3057.TW,2024-07-04,theme,14,7,"TREND,ACCEL",23.78,17.61,4.52,-1.69,-10.73,-31.07
3057.TW,2024-07-05,theme,14,5,"TREND,ACCEL",10.83,21.25,3.15,-7.18,-8.62,-31.32
3057.TW,2024-07-08,theme,10,1,"TREND,ACCEL",0.31,15.36,2.08,-3.1,-2.79,-22.6
3057.TW,2025-05-13,theme,14,3,"ACCEL,PULLBACK",10.44,12.44,2.51,9.56,22.45,26.75
3057.TW,2025-05-14,theme,14,5,ACCEL,21.43,20.28,2.2,9.8,22.55,14.71
3057.TW,2025-05-15,theme,14,8,"SURGE,ACCEL",34.13,35.43,10.34,9.82,10.71,-0.45
3057.TW,2025-05-16,theme,14,11,"SURGE,ACCEL",44.88,50.37,10.16,-5.28,4.47,-9.35
3057.TW,2025-05-19,theme,14,8,"SURGE,ACCEL",37.54,43.83,5.41,-2.15,3.86,-4.29
3057.TW,2025-05-20,theme,14,7,"SURGE,ACCEL",22.45,43.22,2.5,9.65,4.39,-1.75
3057.TW,2025-05-21,theme,14,11,"SURGE,ACCEL",22.55,57.43,3.47,-0.8,-8.0,-13.6
3057.TW,2025-05-22,theme,14,9,"SURGE,ACCEL",10.71,51.77,2.83,3.63,-9.68,-13.31
3057.TW,2025-05-23,theme,11,8,"SURGE,ACCEL",4.47,58.45,2.37,-5.84,-12.45,-19.07
3057.TW,2025-05-26,theme,8,4,"TREND,ACCEL",3.86,46.49,1.21,-1.65,2.07,-8.26
3057.TW,2025-11-11,theme,15,3,"ACCEL,PULLBACK",13.36,10.67,3.76,10.0,7.86,10.36
3057.TW,2025-11-12,theme,15,6,"SURGE,ACCEL,PULLBACK",27.8,24.19,7.75,9.74,-7.14,5.84
3057.TW,2025-11-13,theme,14,8,"SURGE,ACCEL",39.09,35.74,8.55,-4.44,-16.27,-6.51
