rank,date,ticker,name,group,layer,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,spec_risk_score,spec_risk_label,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score,atr_pct,volatility_tag,grade,rank_change,setup_change,risk_change,status_change
1,2026-04-24,2399.TW,映泰,theme,short_attack,43.65,9.95,23.83,27.63,38.35,48970658,18340487,2.67,35.31,28.89,26.47,0.0,23.61,15,9,"SURGE,TREND,ACCEL",高風險追價區,有點過熱，別硬追,10,疑似炒作風險高,急拉爆量型,單日急拉、短線急漲、5日過熱,"單日急拉,短線急漲,5日過熱,波段急漲,爆量,波動劇烈,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",4,3,3,1,7.86,劇烈,C,0,0,0,FLAT
2,2026-04-24,2388.TW,威盛,theme,short_attack,78.2,2.76,19.75,46.17,50.67,45680667,12636753,3.61,60.08,54.03,53.57,-2.25,30.16,15,11,"SURGE,TREND,ACCEL",高風險追價區,有點過熱，別硬追,10,疑似炒作風險高,急拉爆量型,短線急漲、波段急漲、20日飆漲,"短線急漲,波段急漲,20日飆漲,爆量,量能失衡,波動劇烈,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",3,4,3,1,6.3,活潑,C,0,0,0,FLAT
3,2026-04-24,3019.TW,亞光,theme,short_attack,139.5,9.84,8.14,11.16,8.98,23317202,3528418,6.61,127.08,137.55,139.15,-14.68,9.78,15,3,NONE,進攻優勢區,還在觀察,3,投機偏高,資金擁擠型,單日急拉、爆量、量能失衡,"單日急拉,爆量,量能失衡,走勢與訊號不匹配",1,2,0,1,3.64,標準,B,0,0,0,FLAT
4,2026-04-24,6669.TW,緯穎,theme,short_attack,4635.0,9.06,21.81,27.69,23.27,4493181,2042565,2.2,3729.75,3799.92,4057.21,-1.8,24.27,14,6,"SURGE,ACCEL",高風險追價區,有點過熱，別硬追,11,疑似炒作風險高,急拉爆量型,單日急拉、短線急漲、5日過熱,"單日急拉,短線急漲,5日過熱,爆量,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高,缺少趨勢支撐,加速但結構薄",3,2,3,3,4.25,活潑,C,0,0,0,FLAT
5,2026-04-24,6182.TWO,合晶,theme,short_attack,40.7,0.0,13.69,13.96,17.63,46548087,23629193,1.97,36.2,35.74,33.31,-9.56,12.43,14,2,"TREND,ACCEL",進攻優勢區,轉強速度有出來,3,投機偏高,資金擁擠型,短線急漲、爆量、波動劇烈,"短線急漲,爆量,波動劇烈,震幅過大,乖離偏大",1,3,1,0,6.53,劇烈,A,0,0,0,FLAT
6,2026-04-24,3324.TWO,雙鴻,theme,short_attack,1215.0,9.95,17.39,22.73,17.39,9014642,5540299,1.63,1003.35,1005.6,986.32,0.0,21.09,13,3,ACCEL,進攻優勢區,轉強速度有出來,7,疑似炒作風險高,高檔脫離型,單日急拉、短線急漲、震幅過大,"單日急拉,短線急漲,震幅過大,乖離偏大,乖離過大,高檔無回檔,缺少趨勢支撐,加速但結構薄",2,1,3,2,5.31,活潑,A,0,0,0,FLAT
7,2026-04-24,5274.TWO,信驊,satellite,midlong_core,16370.0,4.47,18.58,30.13,42.35,492192,302420,1.63,13120.0,10873.08,8714.29,0.0,24.77,12,7,"SURGE,TREND,ACCEL",高風險追價區,有點過熱，別硬追,7,疑似炒作風險高,急拉爆量型,短線急漲、波段急漲、波動劇烈,"短線急漲,波段急漲,波動劇烈,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",2,2,3,1,6.44,活潑,C,0,0,0,FLAT
8,2026-04-24,3035.TW,智原,satellite,midlong_core,185.0,9.79,16.35,23.75,22.11,34250912,7280142,4.7,155.93,160.22,165.25,0.0,18.65,12,5,"SURGE,ACCEL",進攻優勢區,題材正在發酵,11,疑似炒作風險高,急拉爆量型,單日急拉、短線急漲、爆量,"單日急拉,短線急漲,爆量,量能失衡,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高,缺少趨勢支撐,加速但結構薄",2,3,3,3,4.59,活潑,X,0,0,0,FLAT
9,2026-04-24,2464.TW,盟立,satellite,midlong_core,91.7,8.39,16.08,33.09,23.25,26006991,9139610,2.85,75.14,72.35,67.27,-2.45,22.04,12,5,"SURGE,TREND,ACCEL",進攻優勢區,題材正在發酵,8,疑似炒作風險高,急拉爆量型,單日急拉、短線急漲、爆量,"單日急拉,短線急漲,爆量,量能失衡,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",2,3,3,1,5.9,活潑,X,0,0,0,FLAT
10,2026-04-24,2340.TW,台亞,satellite,midlong_core,36.85,-5.87,14.09,30.44,30.21,21733503,11558933,1.88,30.76,28.09,27.09,-14.2,19.8,12,5,"SURGE,TREND,ACCEL",進攻優勢區,題材正在發酵,7,疑似炒作風險高,急拉爆量型,短線急漲、波段急漲、爆量,"短線急漲,波段急漲,爆量,波動劇烈,震幅過大,乖離偏大,乖離過大,追價風險高",2,3,2,1,7.87,劇烈,X,0,0,0,FLAT
