date,ticker,name,group,close,ret1_pct,ret3_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma5,ma10,ma20,ma60,drawdown20_pct,drawdown60_pct,bias5_pct,setup_score,risk_score,signals,score_band,regime,grade,ma120,drawdown120_pct,bias20_pct,layer,spec_risk_score,spec_risk_label,atr_pct,volatility_tag
2026-04-10,2454.TW,聯發科,core,1575.0,0.0,,7.51,-2.78,-10.76,5381936,7189472,0.75,,,1611.25,1654.27,,,,2,0,NONE,一般觀察,還在觀察,,1481.45,-19.02,-2.25,,,,,
2026-04-13,2454.TW,聯發科,core,1620.0,2.86,,10.58,1.89,-9.24,8802674,7311863,1.2,,,1603.0,1656.33,,,,4,0,NONE,開始轉強,還在觀察,,1484.12,-16.71,1.06,,,,,
2026-04-14,2454.TW,聯發科,core,1720.0,6.17,,17.01,8.52,0.0,11909857,7583975,1.57,,,1603.0,1660.25,,,,8,0,NONE,進攻優勢區,還在觀察,,1487.54,-11.57,7.3,midlong_core,,,,
2026-04-15,2454.TW,聯發科,core,1790.0,4.07,,13.29,18.54,4.68,20848384,8405228,2.48,,,1607.0,1665.25,,,,8,2,ACCEL,進攻優勢區,轉強速度有出來,,1491.46,-7.97,11.39,midlong_core,0.0,正常,,
2026-04-16,2454.TW,聯發科,core,1895.0,5.87,,20.32,27.18,9.54,16504496,9017428,1.83,,,1615.25,1672.75,,,,8,6,ACCEL,高風險追價區,有點過熱，別硬追,,1496.5,-2.57,17.32,midlong_core,6.0,疑似炒作風險高,,
2026-04-17,2454.TW,聯發科,core,1925.0,1.58,,22.22,31.4,11.27,15450213,9489485,1.63,,,1625.0,1681.17,,,,8,5,ACCEL,進攻優勢區,轉強速度有出來,,1501.87,-1.03,18.46,midlong_core,5.0,投機偏高,,
2026-04-20,2454.TW,聯發科,core,1900.0,-1.3,,17.28,29.69,13.1,11027820,9702654,1.14,,,1636.0,1688.75,,,,6,3,NONE,偏強可追蹤,還在觀察,,1506.96,-2.31,16.14,midlong_core,4.0,投機偏高,,
2026-04-21,2454.TW,聯發科,core,2090.0,10.0,,21.51,42.18,22.94,17347421,10176303,1.7,,,1655.5,1698.83,,,,10,5,"SURGE,ACCEL",進攻優勢區,題材正在發酵,,1513.5,0.0,26.25,midlong_core,5.0,投機偏高,,
2026-04-22,2454.TW,聯發科,core,2295.0,9.81,,28.21,45.25,41.23,23044579,11009900,2.09,,,1689.0,1712.08,,,,10,8,"SURGE,ACCEL",高風險追價區,有點過熱，別硬追,,1521.75,0.0,35.88,midlong_core,9.0,疑似炒作風險高,4.42,活潑
2026-04-23,2454.TW,聯發科,core,2215.0,-3.49,,16.89,40.63,36.73,28172336,12152313,2.32,,,1718.75,1724.17,,,,10,6,"SURGE,ACCEL",高風險追價區,有點過熱，別硬追,,1529.26,-3.49,28.87,midlong_core,8.0,疑似炒作風險高,4.82,活潑
