date,ticker,name,close,ret5_pct,ret20_pct,volume,avg_vol20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,group,grade,ret1_pct,ret3_pct,ret10_pct,volume_ratio20,ma5,ma10,drawdown20_pct,drawdown60_pct,bias5_pct,layer,spec_risk_score,spec_risk_label,atr_pct,volatility_tag
2026-04-10,3013.TW,晟銘電,103.5,3.6,10.11,2173429,3009810,99.29,108.85,118.34,-26.07,4.24,4,0,PULLBACK,開始轉強,高檔拉回整理,theme,,1.47,,4.86,0.72,,,,,,,,,,
2026-04-13,3013.TW,晟銘電,103.0,4.89,12.45,1669120,3003519,99.86,108.4,118.17,-26.43,3.14,6,0,PULLBACK,偏強可追蹤,高檔拉回整理,theme,,-0.48,,6.74,0.56,,,,,,,,,,
2026-04-14,3013.TW,晟銘電,103.5,6.15,2.99,1892858,2812145,100.01,107.99,118.01,-26.07,3.49,7,0,PULLBACK,偏強可追蹤,高檔拉回整理,theme,,0.49,,-2.36,0.67,,,,,,short_attack,,,,
2026-04-15,3013.TW,晟銘電,104.0,2.97,6.12,2196112,2695786,100.31,107.62,117.87,-25.71,3.68,4,0,PULLBACK,開始轉強,高檔拉回整理,theme,,0.48,,-0.48,0.81,,,,,,short_attack,0.0,正常,,
2026-04-16,3013.TW,晟銘電,105.0,2.94,6.06,4534429,2824186,100.61,107.33,117.77,-25.0,4.36,6,0,PULLBACK,偏強可追蹤,高檔拉回整理,theme,,0.96,,9.03,1.61,,,,,,short_attack,0.0,正常,,
2026-04-17,3013.TW,晟銘電,111.0,7.25,11.67,9392093,3185100,101.19,107.12,117.75,-20.71,9.69,11,3,PULLBACK,進攻優勢區,高檔拉回整理,theme,,5.71,,11.11,2.95,,,,,,short_attack,2.0,正常,,
2026-04-20,3013.TW,晟銘電,112.0,8.74,14.4,4715844,3356567,101.9,106.92,117.7,-20.0,9.92,11,1,ACCEL,進攻優勢區,轉強速度有出來,theme,,0.9,,14.05,1.4,,,,,,short_attack,0.0,正常,,
2026-04-21,3013.TW,晟銘電,110.0,6.28,10.11,4400255,3489466,102.4,106.73,117.61,-21.43,7.42,9,0,"ACCEL,PULLBACK",進攻優勢區,轉強速度有出來,theme,,-1.79,,12.82,1.26,,,,,,short_attack,0.0,正常,,
2026-04-22,3013.TW,晟銘電,121.0,16.35,22.84,12640660,4014792,103.53,106.65,117.59,-13.57,16.88,14,4,"SURGE,ACCEL",進攻優勢區,題材正在發酵,theme,,10.0,,19.8,3.15,,,,,,short_attack,7.0,疑似炒作風險高,3.96,標準
2026-04-23,3013.TW,晟銘電,109.0,3.81,12.49,15019171,4642590,104.13,106.42,117.4,-22.14,4.68,9,2,PULLBACK,進攻優勢區,高檔拉回整理,theme,,-9.92,,6.86,3.24,,,,,,short_attack,2.0,正常,5.13,活潑
