date,ticker,name,group,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,layer,spec_risk_score,spec_risk_label,atr_pct,volatility_tag,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score
2026-04-10,3017.TW,奇鋐,theme,2265.0,1.34,7.35,7.86,21.77,3063334,5178300,0.59,2048.25,1702.58,1531.46,-0.44,10.58,11,2,TREND,進攻優勢區,中段延續中,,,,,,,,,,,,
2026-04-13,3017.TW,奇鋐,theme,2200.0,-2.87,6.28,-3.3,17.33,2907535,5000925,0.58,2064.5,1715.08,1540.21,-3.3,6.56,11,1,TREND,進攻優勢區,中段延續中,,,,,,,,,,,,
2026-04-14,3017.TW,奇鋐,theme,2310.0,5.0,13.79,5.24,23.86,3569020,4889375,0.73,2086.75,1729.83,1549.92,0.0,10.7,12,2,TREND,進攻優勢區,中段延續中,short_attack,,,,,,,,,,,
2026-04-15,3017.TW,奇鋐,theme,2325.0,0.65,4.26,8.9,27.05,3098100,4840609,0.64,2111.5,1745.67,1559.54,0.0,10.11,9,2,TREND,進攻優勢區,中段延續中,short_attack,0.0,正常,,,,,,,,,
2026-04-16,3017.TW,奇鋐,theme,2440.0,4.95,9.17,22.61,28.08,4412688,4799327,0.92,2138.25,1763.75,1570.21,0.0,14.11,12,2,TREND,進攻優勢區,中段延續中,short_attack,1.0,正常,,,,,,,,,
2026-04-17,3017.TW,奇鋐,theme,2400.0,-1.64,5.96,13.74,29.73,3700622,4727372,0.78,2165.75,1780.83,1580.58,-1.64,10.82,9,2,TREND,進攻優勢區,中段延續中,short_attack,0.0,正常,,,,,,,,,
2026-04-20,3017.TW,奇鋐,theme,2490.0,3.75,13.18,20.29,23.57,3400147,4416987,0.77,2189.5,1799.75,1591.17,0.0,13.72,12,2,TREND,進攻優勢區,中段延續中,short_attack,1.0,正常,,,,,,,,,
2026-04-21,3017.TW,奇鋐,theme,2565.0,3.01,11.04,26.35,25.12,3940435,4275055,0.92,2215.25,1820.08,1602.58,0.0,15.79,12,3,TREND,進攻優勢區,中段延續中,short_attack,1.0,正常,,,,,,,,,
2026-04-22,3017.TW,奇鋐,theme,2695.0,5.07,15.91,20.85,35.09,4908525,4280249,1.15,2250.25,1841.33,1615.46,0.0,19.76,11,5,TREND,進攻優勢區,中段延續中,short_attack,6.0,疑似炒作風險高,4.94,活潑,,,,,,,
2026-04-23,3017.TW,奇鋐,theme,2680.0,-0.56,9.84,19.91,37.79,6411377,4276757,1.5,2287.0,1863.0,1628.29,-0.56,17.18,12,5,"TREND,ACCEL",進攻優勢區,轉強速度有出來,short_attack,4.0,投機偏高,5.36,活潑,,,,,,,
2026-04-24,3017.TW,奇鋐,theme,2915.0,8.77,21.46,28.7,38.81,3960523,4208487,0.94,2327.75,1888.92,1642.96,0.0,25.23,12,7,TREND,高風險追價區,有點過熱，別硬追,short_attack,8.0,疑似炒作風險高,5.37,活潑,高檔脫離型,單日急拉、短線急漲、5日過熱,"單日急拉,短線急漲,5日過熱,波段急漲,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",4.0,1.0,3.0,1.0
