date,ticker,name,group,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,layer,spec_risk_score,spec_risk_label,atr_pct,volatility_tag
2026-04-10,3450.TW,聯鈞,theme,306.5,5.87,23.84,10.25,12.48,31518474,16954480,1.86,271.52,265.94,261.49,-8.23,12.88,14,4,"TREND,ACCEL",進攻優勢區,轉強速度有出來,,,,,
2026-04-13,3450.TW,聯鈞,theme,309.5,0.98,28.42,10.93,12.75,21573813,16715237,1.29,273.27,266.64,261.68,-7.34,13.26,12,3,TREND,進攻優勢區,中段延續中,,,,,
2026-04-14,3450.TW,聯鈞,theme,314.5,1.62,21.9,15.84,11.92,23167219,16897446,1.37,274.95,267.52,261.95,-5.84,14.38,11,3,"TREND,ACCEL",進攻優勢區,轉強速度有出來,short_attack,,,,
2026-04-15,3450.TW,聯鈞,theme,345.5,9.86,27.26,34.17,19.34,24740294,17100759,1.45,277.75,268.98,262.57,0.0,24.39,12,5,"TREND,ACCEL",進攻優勢區,轉強速度有出來,short_attack,5.0,投機偏高,,
2026-04-16,3450.TW,聯鈞,theme,341.0,-1.3,17.79,40.91,21.79,33409912,17685536,1.89,280.8,270.33,263.23,-1.3,21.44,14,4,"TREND,ACCEL",進攻優勢區,轉強速度有出來,short_attack,4.0,投機偏高,,
2026-04-17,3450.TW,聯鈞,theme,366.0,7.33,19.41,47.88,30.48,24012157,18270702,1.31,285.07,272.09,264.27,0.0,28.39,12,7,"TREND,ACCEL",高風險追價區,有點過熱，別硬追,short_attack,6.0,疑似炒作風險高,,
2026-04-20,3450.TW,聯鈞,theme,383.0,4.64,23.75,58.92,37.28,38214703,19367220,1.97,290.27,274.19,265.42,0.0,31.94,15,8,"SURGE,TREND,ACCEL",高風險追價區,有點過熱，別硬追,short_attack,7.0,疑似炒作風險高,,
2026-04-21,3450.TW,聯鈞,theme,380.0,-0.78,20.83,47.29,33.1,25040382,18743957,1.34,295.0,276.37,266.41,-0.78,28.81,12,7,"TREND,ACCEL",高風險追價區,有點過熱，別硬追,short_attack,6.0,疑似炒作風險高,,
2026-04-22,3450.TW,聯鈞,theme,363.5,-4.34,5.21,33.89,39.01,14517793,18650708,0.78,300.1,278.16,267.34,-5.09,21.13,9,4,TREND,進攻優勢區,中段延續中,short_attack,3.0,投機偏高,6.49,活潑
2026-04-23,3450.TW,聯鈞,theme,333.5,-8.25,-2.2,15.2,29.77,25800105,19423737,1.33,303.93,279.48,267.85,-12.92,9.73,8,1,"TREND,ACCEL",進攻優勢區,轉強速度有出來,short_attack,0.0,正常,7.8,劇烈
2026-04-24,3450.TW,聯鈞,theme,315.0,-5.55,-13.93,2.77,13.31,17014117,19730126,0.86,305.77,280.56,268.23,-17.75,3.02,8,0,TREND,進攻優勢區,中段延續中,short_attack,0.0,正常,8.65,劇烈
