rank,date,ticker,name,group,layer,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,spec_risk_score,spec_risk_label,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score,atr_pct,volatility_tag,grade,rank_change,setup_change,risk_change,status_change
1,2026-04-24,2388.TW,威盛,theme,short_attack,82.6,8.54,26.49,54.39,59.15,30410547,11873247,2.56,60.3,54.1,53.6,0.0,36.98,15,11,"SURGE,TREND,ACCEL",高風險追價區,有點過熱，別硬追,10,疑似炒作風險高,急拉爆量型,單日急拉、短線急漲、5日過熱,"單日急拉,短線急漲,5日過熱,波段急漲,20日飆漲,爆量,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",5,2,3,1,5.97,活潑,C,0,0,0,FLAT
2,2026-04-24,6182.TWO,合晶,theme,short_attack,40.7,0.0,13.69,13.96,17.63,46548087,23629193,1.97,36.2,35.74,33.31,-9.56,12.43,14,2,"TREND,ACCEL",進攻優勢區,轉強速度有出來,3,投機偏高,資金擁擠型,短線急漲、爆量、波動劇烈,"短線急漲,爆量,波動劇烈,震幅過大,乖離偏大",1,3,1,0,6.53,劇烈,A,0,0,0,FLAT
3,2026-04-24,3019.TW,亞光,theme,short_attack,138.0,8.66,6.98,9.96,7.81,17284597,3226787,5.36,127.0,137.53,139.14,-15.6,8.66,14,3,NONE,進攻優勢區,還在觀察,3,投機偏高,資金擁擠型,單日急拉、爆量、量能失衡,"單日急拉,爆量,量能失衡,走勢與訊號不匹配",1,2,0,1,3.67,標準,B,0,0,0,FLAT
4,2026-04-24,6669.TW,緯穎,theme,short_attack,4540.0,6.82,19.32,25.07,20.74,3048426,1970328,1.55,3725.0,3798.33,4056.42,-3.81,21.88,13,5,ACCEL,進攻優勢區,轉強速度有出來,8,疑似炒作風險高,高檔脫離型,短線急漲、震幅過大、乖離偏大,"短線急漲,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高,缺少趨勢支撐,加速但結構薄",1,1,3,3,4.14,活潑,X,0,0,0,FLAT
5,2026-04-24,3017.TW,奇鋐,theme,short_attack,2915.0,8.77,21.46,28.7,38.81,3960523,4208487,0.94,2327.75,1888.92,1642.96,0.0,25.23,12,7,TREND,高風險追價區,有點過熱，別硬追,8,疑似炒作風險高,高檔脫離型,單日急拉、短線急漲、5日過熱,"單日急拉,短線急漲,5日過熱,波段急漲,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",4,1,3,1,5.37,活潑,C,0,0,0,FLAT
6,2026-04-24,2399.TW,映泰,theme,short_attack,42.05,5.92,19.29,22.95,33.28,25330127,17158461,1.48,35.23,28.86,26.46,0.0,19.35,12,7,"TREND,ACCEL",高風險追價區,有點過熱，別硬追,7,疑似炒作風險高,急拉爆量型,短線急漲、波段急漲、波動劇烈,"短線急漲,波段急漲,波動劇烈,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",2,2,3,1,8.03,劇烈,C,0,0,0,FLAT
7,2026-04-24,2464.TW,盟立,satellite,midlong_core,91.7,8.39,16.08,33.09,23.25,26006991,9139610,2.85,75.14,72.35,67.27,-2.45,22.04,12,5,"SURGE,TREND,ACCEL",進攻優勢區,題材正在發酵,8,疑似炒作風險高,急拉爆量型,單日急拉、短線急漲、爆量,"單日急拉,短線急漲,爆量,量能失衡,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",2,3,3,1,5.9,活潑,X,0,0,0,FLAT
8,2026-04-24,2340.TW,台亞,satellite,midlong_core,36.85,-5.87,14.09,30.44,30.21,21733503,11558933,1.88,30.76,28.09,27.09,-14.2,19.8,12,5,"SURGE,TREND,ACCEL",進攻優勢區,題材正在發酵,7,疑似炒作風險高,急拉爆量型,短線急漲、波段急漲、爆量,"短線急漲,波段急漲,爆量,波動劇烈,震幅過大,乖離偏大,乖離過大,追價風險高",2,3,2,1,7.87,劇烈,X,0,0,0,FLAT
9,2026-04-24,2465.TW,麗臺,theme,short_attack,68.5,0.29,13.41,14.55,23.2,954307,1581533,0.6,59.71,56.46,58.11,-3.93,14.72,12,2,TREND,進攻優勢區,中段延續中,3,投機偏高,資金擁擠型,短線急漲、波動劇烈、震幅過大,"短線急漲,波動劇烈,震幅過大,乖離偏大,高檔無回檔",1,2,2,0,6.56,劇烈,B,0,0,0,FLAT
10,2026-04-24,6962.TW,奕力-KY,satellite,midlong_core,39.45,-1.25,12.71,21.38,27.88,21053131,6284881,3.35,34.46,34.99,37.83,-14.33,14.49,12,3,"SURGE,ACCEL",進攻優勢區,題材正在發酵,6,疑似炒作風險高,急拉爆量型,短線急漲、波段急漲、爆量,"短線急漲,波段急漲,爆量,量能失衡,乖離偏大,缺少趨勢支撐,加速但結構薄",2,2,1,2,4.01,活潑,A,0,0,0,FLAT
11,2026-04-24,4919.TW,新唐,theme,short_attack,140.0,-4.76,8.53,52.84,38.61,4566683,19781266,0.23,110.94,85.98,70.09,-9.09,26.19,12,4,TREND,進攻優勢區,中段延續中,4,投機偏高,資金擁擠型,波段急漲、波動劇烈、震幅過大,"波段急漲,波動劇烈,震幅過大,乖離偏大,乖離過大",1,2,2,0,8.09,劇烈,B,0,0,0,FLAT
12,2026-04-24,2312.TW,金寶,theme,short_attack,26.1,-3.33,6.31,16.26,13.23,74514844,39344247,1.89,23.82,24.88,24.06,-26.27,9.55,12,2,"ACCEL,PULLBACK",進攻優勢區,轉強速度有出來,2,正常,正常,爆量、波動劇烈、震幅過大,"爆量,波動劇烈,震幅過大",0,3,0,0,6.34,活潑,A,0,0,0,FLAT
13,2026-04-24,3324.TWO,雙鴻,theme,short_attack,1205.0,9.05,16.43,21.72,16.43,7082377,5443685,1.3,1002.85,1005.43,986.23,0.0,20.16,11,3,ACCEL,進攻優勢區,轉強速度有出來,7,疑似炒作風險高,高檔脫離型,單日急拉、短線急漲、震幅過大,"單日急拉,短線急漲,震幅過大,乖離偏大,乖離過大,高檔無回檔,缺少趨勢支撐,加速但結構薄",2,1,3,2,5.32,活潑,A,0,0,0,FLAT
14,2026-04-24,3035.TW,智原,satellite,midlong_core,180.0,6.82,13.21,20.4,18.81,17256635,6430428,2.68,155.68,160.14,165.2,-2.44,15.63,11,5,ACCEL,進攻優勢區,轉強速度有出來,8,疑似炒作風險高,高檔脫離型,短線急漲、爆量、震幅過大,"短線急漲,爆量,震幅過大,乖離偏大,高檔無回檔,追價風險高,缺少趨勢支撐,加速但結構薄",1,2,2,3,4.62,活潑,X,0,0,0,FLAT
15,2026-04-24,8064.TWO,東捷,core,midlong_core,84.2,9.92,7.95,8.23,23.82,24362562,14971432,1.63,74.8,61.6,52.56,0.0,12.57,10,2,"SURGE,TREND",進攻優勢區,題材正在發酵,2,正常,正常,單日急拉、波動劇烈、震幅過大,"單日急拉,波動劇烈,震幅過大,乖離偏大,高檔無回檔",1,2,2,0,7.91,劇烈,A,0,0,0,FLAT
16,2026-04-24,5347.TWO,世界,theme,short_attack,140.5,3.31,6.44,8.91,13.31,37657745,30779664,1.22,127.6,127.78,112.52,-13.8,10.11,10,1,NONE,進攻優勢區,還在觀察,2,正常,正常,波動劇烈、震幅過大、乖離偏大,"波動劇烈,震幅過大,乖離偏大",0,2,1,0,6.28,活潑,B,0,0,0,FLAT
17,2026-04-24,3443.TW,創意,satellite,midlong_core,4300.0,9.97,32.1,61.35,73.74,1067060,2156746,0.49,2952.0,2652.75,2341.21,0.0,45.66,9,9,TREND,高風險追價區,有點過熱，別硬追,9,疑似炒作風險高,高檔脫離型,單日急拉、短線急漲、5日過熱,"單日急拉,短線急漲,5日過熱,波段急漲,20日飆漲,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",5,1,3,1,5.19,活潑,C,0,0,0,FLAT
18,2026-04-24,6147.TWO,頎邦,satellite,midlong_core,142.0,5.97,23.48,33.96,100.56,8150533,38572694,0.21,104.81,73.39,63.99,0.0,35.48,9,9,TREND,高風險追價區,有點過熱，別硬追,9,疑似炒作風險高,急拉爆量型,短線急漲、5日過熱、波段急漲,"短線急漲,5日過熱,波段急漲,20日飆漲,波動劇烈,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",4,2,3,1,7.99,劇烈,C,0,0,0,FLAT
19,2026-04-24,2454.TW,聯發科,core,midlong_core,2385.0,7.67,23.9,51.43,47.22,17439706,12732300,1.37,1757.0,1738.83,1538.18,0.0,35.74,8,7,"TREND,ACCEL",高風險追價區,有點過熱，別硬追,8,疑似炒作風險高,高檔脫離型,單日急拉、短線急漲、5日過熱,"單日急拉,短線急漲,5日過熱,波段急漲,20日飆漲,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",5,1,3,1,4.94,活潑,C,0,0,0,FLAT
20,2026-04-24,5274.TWO,信驊,satellite,midlong_core,16715.0,6.67,21.08,32.87,45.35,303820,293002,1.04,13137.25,10878.83,8717.17,0.0,27.23,8,7,TREND,高風險追價區,有點過熱，別硬追,9,疑似炒作風險高,急拉爆量型,短線急漲、5日過熱、波段急漲,"短線急漲,5日過熱,波段急漲,20日飆漲,波動劇烈,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",4,2,3,1,6.31,活潑,C,0,0,0,FLAT
21,2026-04-24,3661.TW,世芯-KY,satellite,midlong_core,4255.0,6.91,21.05,40.66,35.08,2200463,2511767,0.88,3233.0,3268.83,3306.25,0.0,31.61,8,7,NONE,高風險追價區,有點過熱，別硬追,10,疑似炒作風險高,高檔脫離型,短線急漲、5日過熱、波段急漲,"短線急漲,5日過熱,波段急漲,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高,缺少趨勢支撐,走勢與訊號不匹配",3,1,3,3,4.8,活潑,C,0,0,0,FLAT
22,2026-04-24,2308.TW,台達電,core,midlong_core,2035.0,2.78,10.6,17.29,31.29,7428597,10712293,0.69,1713.0,1439.75,1207.03,0.0,18.8,8,5,TREND,進攻優勢區,中段延續中,4,投機偏高,高檔脫離型,波段急漲、震幅過大、乖離偏大,"波段急漲,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",1,1,3,1,4.7,活潑,X,0,0,0,FLAT
23,2026-04-24,3711.TW,日月光投控,core,midlong_core,486.0,4.63,9.95,23.66,38.07,16263442,20346820,0.8,408.3,356.45,297.0,0.0,19.03,8,5,TREND,進攻優勢區,中段延續中,4,投機偏高,高檔脫離型,波段急漲、震幅過大、乖離偏大,"波段急漲,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",1,1,3,1,5.01,活潑,X,0,0,0,FLAT
24,2026-04-24,3057.TW,喬鼎,theme,short_attack,19.15,1.59,2.96,10.37,15.71,225562,338383,0.67,17.32,16.92,16.66,-19.87,10.57,8,1,TREND,進攻優勢區,中段延續中,0,正常,正常,震幅過大、乖離偏大,"震幅過大,乖離偏大",0,1,1,0,5.17,活潑,X,0,0,0,FLAT
25,2026-04-24,2886.TW,兆豐金,core,midlong_core,39.55,-0.63,0.13,-0.75,1.02,7889162,24782567,0.32,39.37,39.46,39.96,-5.27,0.44,8,0,BASE,進攻優勢區,低檔慢慢墊高,0,正常,正常,結構相對正常,,0,0,0,0,1.45,穩健,X,0,0,0,FLAT
